id,product_id,sku,name,color_name,color_hex,racket_weight_class,grip_size,shoe_size,clothing_size,unit,price,compare_at_price,cost_price,barcode,is_default,is_active,sort_order
40000000-0000-4000-8000-000000000036,30000000-0000-4000-8000-000000000012,STR-CTL-066-BLU,Xanh dương,Xanh dương,#1E88E5,,,,,set,180000.00,,90000.00,,false,true,4
40000000-0000-4000-8000-000000000037,30000000-0000-4000-8000-000000000012,STR-CTL-066-RED,Đỏ,Đỏ,#E53935,,,,,set,180000.00,,90000.00,,false,true,5
40000000-0000-4000-8000-000000000038,30000000-0000-4000-8000-000000000013,STR-PWR-068-WHT,Trắng,Trắng,#FFFFFF,,,,,set,220000.00,,110000.00,,false,true,1
40000000-0000-4000-8000-000000000039,30000000-0000-4000-8000-000000000013,STR-PWR-068-BLK,Đen,Đen,#000000,,,,,set,220000.00,,110000.00,,true,true,2
40000000-0000-4000-8000-000000000040,30000000-0000-4000-8000-000000000013,STR-PWR-068-RED,Đỏ,Đỏ,#C62828,,,,,set,220000.00,,110000.00,,false,true,3
40000000-0000-4000-8000-000000000041,30000000-0000-4000-8000-000000000014,STR-SFT-070-WHT,Trắng (draft),Trắng,#FFFFFF,,,,,set,150000.00,,70000.00,,true,false,1
40000000-0000-4000-8000-000000000042,30000000-0000-4000-8000-000000000015,GRP-COM-DRY-BLK-1,1 cuốn,Đen,#000000,,,,,item,35000.00,,15000.00,,true,true,1
40000000-0000-4000-8000-000000000043,30000000-0000-4000-8000-000000000015,GRP-COM-DRY-BLK-P3,Pack 3 cuốn,Đen,#000000,,,,,pack,99000.00,105000.00,40000.00,,false,true,2
40000000-0000-4000-8000-000000000044,30000000-0000-4000-8000-000000000015,GRP-COM-DRY-BLK-P5,Pack 5 cuốn,Đen,#000000,,,,,pack,155000.00,175000.00,65000.00,,false,true,3
40000000-0000-4000-8000-000000000045,30000000-0000-4000-8000-000000000016,GRP-TWL-CLS-WHT-1,1 cuốn Trắng,Trắng,#FFFFFF,,,,,item,45000.00,,20000.00,,true,true,1
40000000-0000-4000-8000-000000000046,30000000-0000-4000-8000-000000000016,GRP-TWL-CLS-BLU-1,1 cuốn Xanh,Xanh dương,#1565C0,,,,,item,45000.00,,20000.00,,false,true,2
40000000-0000-4000-8000-000000000047,30000000-0000-4000-8000-000000000017,GRP-PRO-OVG-BLK-1,1 cuốn,Đen,#000000,,,,,item,39000.00,,18000.00,,true,true,1
40000000-0000-4000-8000-000000000048,30000000-0000-4000-8000-000000000017,GRP-PRO-OVG-RED-P3,Pack 3 cuốn,Đỏ,#E53935,,,,,pack,110000.00,,50000.00,,false,true,2
40000000-0000-4000-8000-000000000049,30000000-0000-4000-8000-000000000018,BAG-APA-TP6-BLK,Đen,Đen,#212121,,,,,item,1290000.00,,700000.00,,true,true,1
40000000-0000-4000-8000-000000000050,30000000-0000-4000-8000-000000000018,BAG-APA-TP6-BLU,Xanh dương,Xanh dương,#1565C0,,,,,item,1320000.00,,720000.00,,false,true,2
40000000-0000-4000-8000-000000000051,30000000-0000-4000-8000-000000000019,BAG-KAM-CDP-GRY,Xám,Xám,#9E9E9E,,,,,item,690000.00,,380000.00,,true,false,1
40000000-0000-4000-8000-000000000052,30000000-0000-4000-8000-000000000020,CLT-LIN-MJP-RED-S,Size S,Đỏ,#E53935,,,,S,item,390000.00,,180000.00,,false,true,1
40000000-0000-4000-8000-000000000053,30000000-0000-4000-8000-000000000020,CLT-LIN-MJP-RED-M,Size M,Đỏ,#E53935,,,,M,item,390000.00,,180000.00,,true,true,2
40000000-0000-4000-8000-000000000054,30000000-0000-4000-8000-000000000020,CLT-LIN-MJP-RED-L,Size L,Đỏ,#E53935,,,,L,item,390000.00,,180000.00,,false,true,3
40000000-0000-4000-8000-000000000055,30000000-0000-4000-8000-000000000020,CLT-LIN-MJP-RED-XL,Size XL,Đỏ,#E53935,,,,XL,item,390000.00,,180000.00,,false,true,4
40000000-0000-4000-8000-000000000056,30000000-0000-4000-8000-000000000020,CLT-LIN-MJP-RED-XXL,Size XXL,Đỏ,#E53935,,,,XXL,item,390000.00,,180000.00,,false,true,5
40000000-0000-4000-8000-000000000057,30000000-0000-4000-8000-000000000021,CLT-KAM-CSF-NVY-S,Size S,Navy,#0D47A1,,,,S,item,320000.00,,150000.00,,false,true,1
40000000-0000-4000-8000-000000000058,30000000-0000-4000-8000-000000000021,CLT-KAM-CSF-NVY-M,Size M,Navy,#0D47A1,,,,M,item,320000.00,,150000.00,,false,true,2
40000000-0000-4000-8000-000000000059,30000000-0000-4000-8000-000000000021,CLT-KAM-CSF-NVY-L,Size L,Navy,#0D47A1,,,,L,item,320000.00,,150000.00,,true,true,3
40000000-0000-4000-8000-000000000060,30000000-0000-4000-8000-000000000021,CLT-KAM-CSF-NVY-XL,Size XL,Navy,#0D47A1,,,,XL,item,320000.00,,150000.00,,false,true,4
40000000-0000-4000-8000-000000000061,30000000-0000-4000-8000-000000000022,SOK-KAM-CC-WHT-FREE,Free size,Trắng,#FFFFFF,,,,,pair,89000.00,,35000.00,,true,true,1
40000000-0000-4000-8000-000000000062,30000000-0000-4000-8000-000000000023,PRT-KUM-SB-BLK-ONE,One size,Đen,#000000,,,,,item,120000.00,,50000.00,,true,false,1
40000000-0000-4000-8000-000000000063,30000000-0000-4000-8000-000000000024,TRN-PRO-FL-4M,4 mét,,,,,,,item,250000.00,,120000.00,,true,true,1
