id,product_id,variant_id,storage_path,alt_text,sort_order,is_primary
50000000-0000-4000-8000-000000000019,30000000-0000-4000-8000-000000000014,,product-images/30000000-0000-4000-8000-000000000014/main.webp,Ảnh chính Cước đan vợt Soft Feel 0.70,0,true
50000000-0000-4000-8000-000000000020,30000000-0000-4000-8000-000000000015,,product-images/30000000-0000-4000-8000-000000000015/main.webp,Ảnh chính Quấn cán Comfort Dry Pack,0,true
50000000-0000-4000-8000-000000000021,30000000-0000-4000-8000-000000000015,,product-images/30000000-0000-4000-8000-000000000015/gallery-01.webp,Ảnh phụ Quấn cán Comfort Dry Pack,1,false
50000000-0000-4000-8000-000000000022,30000000-0000-4000-8000-000000000016,,product-images/30000000-0000-4000-8000-000000000016/main.webp,Ảnh chính Quấn cán Towel Grip Classic,0,true
50000000-0000-4000-8000-000000000023,30000000-0000-4000-8000-000000000017,,product-images/30000000-0000-4000-8000-000000000017/main.webp,Ảnh chính Quấn cán Pro Overgrip Thin,0,true
50000000-0000-4000-8000-000000000024,30000000-0000-4000-8000-000000000018,,product-images/30000000-0000-4000-8000-000000000018/main.webp,Ảnh chính Túi vợt Tournament Pro 6 ngăn,0,true
50000000-0000-4000-8000-000000000025,30000000-0000-4000-8000-000000000019,,product-images/30000000-0000-4000-8000-000000000019/main.webp,Ảnh chính Balo cầu lông Court Daypack,0,true
50000000-0000-4000-8000-000000000026,30000000-0000-4000-8000-000000000020,,product-images/30000000-0000-4000-8000-000000000020/main.webp,Ảnh chính Áo thi đấu Match Jersey Pro,0,true
50000000-0000-4000-8000-000000000027,30000000-0000-4000-8000-000000000021,,product-images/30000000-0000-4000-8000-000000000021/main.webp,Ảnh chính Quần short Court Flex,0,true
50000000-0000-4000-8000-000000000028,30000000-0000-4000-8000-000000000022,,product-images/30000000-0000-4000-8000-000000000022/main.webp,Ảnh chính Vớ thể thao Court Cushion,0,true
50000000-0000-4000-8000-000000000029,30000000-0000-4000-8000-000000000023,,product-images/30000000-0000-4000-8000-000000000023/main.webp,Ảnh chính Băng hỗ trợ cổ tay Support Band,0,true
50000000-0000-4000-8000-000000000030,30000000-0000-4000-8000-000000000024,,product-images/30000000-0000-4000-8000-000000000024/main.webp,Ảnh chính Thang tập chân Footwork Ladder 4m,0,true
50000000-0000-4000-8000-000000000031,30000000-0000-4000-8000-000000000001,40000000-0000-4000-8000-000000000003,product-images/30000000-0000-4000-8000-000000000001/rkt-yon-as88-blu-4u-g6.webp,Ảnh biến thể 4U / G6 Xanh,0,true
50000000-0000-4000-8000-000000000032,30000000-0000-4000-8000-000000000002,40000000-0000-4000-8000-000000000007,product-images/30000000-0000-4000-8000-000000000002/rkt-vic-pcx7-org-4u-g6.webp,Ảnh biến thể 4U / G6 Cam,0,true
